year,lizard,order,frequency,rep,date,time,time.class,lat,long,ground,mesohabitat,microhabitat1,microhabitat 2,microhabitat 3 ,behavior,observer,notes,pulseinterval
2018,22,27,151.83,5,12-May,14:58,PM,35.11761,-119.63346,below,open,burrow,,,standing,mario,,
2018,30,7,150.77,5,12-May,11:24,AM,35.11784,-119.633461,below,shrub,burrow,,,standing,mario,,
2018,30,7,150.77,5,12-May,14:54,PM,35.11753,-119.63251,above,open,1m from Shrub,,,basking,mario,,
2018,31,5,150.669,5,12-May,12:40,PM,35.12018,-119.62508,below,open,,,,standing,steph,,
2018,31,5,150.669,5,12-May,15:30,PM,35.12017,-119.62506,below,opem,,,,standing,steph,,
2018,35,18,151.23,5,12-May,11:41,AM,35.11789,-119.63287,above,open,burrow,mound,,basking,mario,,
2018,35,18,151.23,5,12-May,14:48,PM,35.11723,-119.63154,below,open,mound,,,standing,mario,,
2018,39,28,151.849,5,12-May,11:51,AM,35.1165,-119.62589,above,open,,,,standing,steph,,
2018,39,28,151.849,5,12-May,15:03,PM,35.11647,-119.62575,below,open,burrow,,,standing,steph,,
2018,40,17,151.209,5,12-May,12:04,PM,35.11139,-119.6328,above,shrub,,,,standing,mario,,
2018,40,17,151.209,5,12-May,15:24,PM,35.11221,-119.63268,above,open,,,,basking,mario,,
2018,44,6,150.75,5,12-May,12:01,PM,35.11713,-119.62759,above,open,burrow,,,standing,steph,,
2018,44,6,150.75,5,12-May,15:09,PM,35.1171,-119.62755,above,open,burrow,,,standing,steph,,
2018,47,25,151.649,5,12-May,10:54,AM,35.12024,-119.62756,above,open,burrow,,,basking,mario,,
2018,47,25,151.649,5,12-May,14:25,PM,35.12043,-119.62791,above,open,burrow,,,basking,mario,,
2018,56,9,150.81,5,12-May,11:33,AM,35.1172,-119.63287,above,open,,,,basking,mario,,
2018,56,9,150.81,5,12-May,15:12,PM,35.11725,-119.63395,above,open,2M from Shrub,,,basking,mario,,
2018,64,8,151.79,5,12-May,10:51,AM,35.11547,-119.61966,above,shrub,mound,,,standing,steph,,
2018,64,8,151.79,5,12-May,13:57,PM,35.11566,-119.62007,above,open,mound,1M from burrow,,standing,steph,,
2018,80,4,150.63,5,12-May,11:25,AM,35.11535,-119.62415,above,shrub,,,,standing,steph,,
2018,80,4,150.63,5,12-May,14:38,PM,35.11518,-119.62376,above,open,mound,,,basking,steph,,
2018,91,20,151.37,5,12-May,12:25,PM,35.11785,-119.6239,above,open,burrow,,,standing,steph,,
2018,91,20,151.37,5,12-May,14:21,PM,35.11801,-119.62422,above,open,burrow,mound,,standing,steph,,
2018,93,19,151.29,5,12-May,12:48,PM,35.11968,-119.62641,below,open,burrow,,,standing,steph,,
2018,93,19,151.29,5,12-May,15:45,PM,35.11993,-119.62679,below,open,,,,standing,steph,,
2018,99,3,150.609,5,12-May,11:42,AM,35.11529,-119.62491,above,open,burrow,,,standing,steph,,
2018,99,3,150.609,5,12-May,14:53,PM,35.11496,-119.62461,above,open,burrow,,,basking,steph,,
2018,100,1,150.549,5,12-May,12:17,PM,35.11811,-119.62619,below,open,mound,,,standing,steph,,
2018,100,1,150.549,5,12-May,15:15,PM,35.118,-119.62653,above,open,burrow,,,standing,steph,,
2018,130,30,151.969,5,12-May,11:08,AM,35.11959,-119.62111,above,open,,,,standing,steph,First location as first day,
2018,130,30,151.969,5,12-May,14:10,PM,35.11962,-119.62126,above,shrub,,,,thermoregulating,steph,,
2018,176,12,151.029,5,12-May,11:36,AM,35.11667,-119.63507,above,open,1m from Shrub,,,basking,mario,,
2018,176,12,151.029,5,12-May,15:08,AM,35.11596,-119.6357,above,shrub,,,,standing,mario,,
2018,200,10,150.83,5,12-May,11:08,AM,35.11976,-119.63087,above,open,burrow,,,basking,mario,,
2018,200,10,150.83,5,12-May,14:44,PM,35.11819,-119.63144,above,shrub,,,,standing,mario,,
2018,1337,29,151.91,5,12-May,10:49,AM,35.12092,-119.62845,below,open,burrow,,,standing,mario,,
2018,1337,29,151.91,5,12-May,14:32,PM,35.1199,-119.62875,below,open,burrow,mound,,standing,mario,,
2018,12B,16,151.11,5,12-May,11:46,AM,35.11836,-119.62962,above,open,,,,basking,mario,,
2018,12B,16,151.11,5,12-May,14:14,PM,35.11853,-119.62992,above,open,burrow,mound,,basking,mario,,
2018,1,21,151.43,6,13-May,11:28,AM,35.12697,-119.63715,above,shrub,,,,basking,rich,,
2018,2,26,151.809,6,13-May,12:07,PM,35.12483,-119.63646,above,open,burrow,,,basking,rich,,
2018,4,14,151.089,6,13-May,13:18,PM,35.12101,-119.62537,above,open,1M from burrow,,,standing,steph,,
2018,7,23,151.59,6,13-May,13:04,PM,35.11786,-119.6255,above,open,mound,,,standing,steph,,
2018,9,2,150.57,6,13-May,13:17,PM,35.11632,-119.63464,above,shrub,washbank,,,standing,rich,,
2018,11,22,151.47,6,13-May,12:18,PM,35.12387,-119.63569,below,open,,,,standing,rich,,
2018,12,15,151.11,6,13-May,12:51,AM,35.11916,-119.63034,above,shrub,,,,standing,rich,,
2018,13,24,151.61,6,13-May,12:25,PM,35.11538,-119.6241,above,shrub,,,,standing,steph,,
2018,19,13,151.049,6,13-May,14:59,PM,35.11922,-119.62878,above,open,3M from shrub,,,basking,rich,,
2018,20,11,151,6,13-May,14:46,PM,35.11935,-119.62911,above,open,2M from shrub,,,interacting,steph,with another collared lizard,
2018,22,27,151.83,6,13-May,14:15,PM,35.1175,-119.63317,below,open,washbank,,,standing,rich,,
2018,30,7,150.77,6,13-May,14:02,PM,35.11781,-119.63293,above,shrub,,,,standing,rich,,
2018,31,5,150.669,6,13-May,13:23,PM,35.12043,-119.62541,below,open,,,,standing,steph,,
2018,35,18,151.23,6,13-May,14:24,PM,35.11796,-119.63205,above,open,,,,basking,rich,,
2018,39,28,151.849,6,13-May,12:40,PM,35.11657,-119.62603,above,open,,,,standing,steph,,
2018,40,17,151.209,6,13-May,14:15,PM,35.11217,-119.63323,above,open,,,,standing,steph,,
2018,44,6,150.75,6,13-May,12:54,PM,35.1175,-119.62717,above,open,burrow,,,standing,steph,,
2018,56,9,150.81,6,13-May,13:26,PM,35.11712,-119.63429,above,open,,,,basking,rich,,
2018,64,8,151.79,6,13-May,11:35,AM,35.11613,-119.61973,above,shrub,,,,standing,steph,,
2018,80,4,150.63,6,13-May,12:09,PM,35.11537,-119.62408,above,shrub,burrow,,,sunning,steph,,
2018,91,20,151.37,6,13-May,12:00,PM,35.11793,-119.62384,below,open,mound,,,standing,steph,,
2018,93,19,151.29,6,13-May,13:11,PM,35.1198,-119.62702,below,open,mound,,,standing,steph,,
2018,99,3,150.609,6,13-May,12:33,PM,35.11473,-119.62437,below,open,washbank,,,standing,steph,,
